model,base_model,finetuned_dataset,eval_accuracy,task_type,learning_rate,batch_size,num_epochs,created_at,last_modified,license,downloads,row_type
transformersbook/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.927,text-classification,2e-05,64,2.0,,2022-05-30T06:13:40.000Z,,433,finetune
Fayad11/fine_tuned_emotion_inference_model,bert-base-uncased,emotion,,text-classification,,,,,2026-05-15T17:36:43.000Z,,87,finetune
linlin336/distilbert-finetuned-emotion,distilbert-base-uncased,emotion,,text-classification,,,,,2026-06-12T15:29:17.000Z,,79,finetune
Rahmat82/DistilBERT-finetuned-on-emotion,distilbert-base-uncased,emotion,0.9235,text-classification,2e-05,64,2.0,,2024-02-28T09:48:15.000Z,,57,finetune
bhadresh-savani/electra-base-emotion,google/electra-base-discriminator,emotion,,text-classification,,,,,2023-03-22T08:42:55.000Z,,48,finetune
google/electra-base-discriminator,,emotion,,text-classification,,,,,2023-03-22T08:42:55.000Z,,,lineage
Mickey-yy/my-emotion-model,distilbert-base-uncased,emotion,,text-classification,,,,,2026-06-01T18:13:54.000Z,,43,finetune
NPCProgrammer/BERT_Emotions_tuned,bert-base-uncased,emotion,0.9295,text-classification,5e-05,16,3.0,,2024-03-13T07:26:10.000Z,,32,finetune
keefezowie/sa_mobileBERT,distilbert-base-uncased,emotion,,text-classification,2e-05,512,1.0,,2024-04-12T13:26:03.000Z,,25,finetune
Toshifumi/distilbert-base-multilingual-cased-finetuned-emotion,distilbert-base-uncased,emotion,0.8885,text-classification,2e-05,64,2.0,,2022-04-13T12:30:50.000Z,,22,finetune
ArafatBHossain/distiled_flip_model_emotion_alpha_0.8_epoch5_v1,distilbert-base-uncased,emotion,0.942,text-classification,5e-05,8,5.0,,2022-10-15T08:21:32.000Z,,22,finetune
autoevaluate/multi-class-classification,distilbert-base-uncased,emotion,0.928,text-classification,2e-05,16,1.0,,2022-10-31T11:27:58.000Z,,20,finetune
zhubaihe1/distilbert-finetuned-emotion,distilbert-base-uncased,emotion,,text-classification,,,,,2026-05-19T09:57:17.000Z,,20,finetune
ireallydk/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,,text-classification,2e-05,,,,2026-06-13T07:33:39.000Z,,17,finetune
ActivationAI/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.928,text-classification,2e-05,64,2.0,,2022-03-02T03:40:08.000Z,,14,finetune
Aron/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.92,text-classification,2e-05,64,2.0,,2022-02-23T10:34:14.000Z,,14,finetune
morenolq/distilbert-base-cased-emotion,distilbert-base-uncased,emotion,0.9235,text-classification,5e-05,32,10.0,,2024-11-30T12:48:04.000Z,,14,finetune
keefezowie/sa_distilBERT,distilbert-base-uncased,emotion,,text-classification,0.0,128,1.0,,2023-12-06T12:17:09.000Z,,14,finetune
philschmid/distilbert-base-uncased-emotion,distilbert-base-uncased,emotion,,text-classification,,,,,2022-09-29T14:01:38.000Z,,13,finetune
AP7000/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.926,text-classification,2e-05,64,2.0,,2023-12-13T22:21:20.000Z,,13,finetune
lewiswatson/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.918,text-classification,2e-05,64,2.0,,2024-04-15T17:26:04.000Z,,11,finetune
FabioDataGeek/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.926,text-classification,2e-05,64,2.0,,2022-07-22T16:02:35.000Z,,10,finetune
Fengkai/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9385,text-classification,2e-05,64,5.0,,2022-01-25T02:11:58.000Z,,10,finetune
Jorgeutd/sagemaker-roberta-base-emotion,roberta-base,emotion,,text-classification,,,,,2023-05-10T14:46:07.000Z,,10,finetune
miyagawaorj/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.925,text-classification,2e-05,64,2.0,,2023-07-18T12:28:29.000Z,,10,finetune
SheldonSides/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9245,text-classification,2e-05,64,2.0,,2023-10-26T06:22:30.000Z,,10,finetune
Jimchoo91/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.923,text-classification,2e-05,64,2.0,,2022-07-03T08:46:40.000Z,,9,finetune
joelb/custom-handler-tutorial,distilbert-base-uncased,emotion,,text-classification,,,,,2022-10-18T02:23:12.000Z,,9,finetune
maxsagt/distilbert-base-uncased-finetuned-emotions,distilbert-base-uncased,emotion,0.924,text-classification,2e-05,64,2.0,,2023-08-01T00:03:50.000Z,,9,finetune
AdapterHub/roberta-base-pf-emotion,,emotion,,text-classification,,,,,2021-11-24T16:29:46.000Z,,8,finetune
Crives/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9215,text-classification,2e-05,64,2.0,,2022-02-09T22:08:11.000Z,,8,finetune
Emanuel/bertweet-emotion-base,roberta-base,emotion,0.945,text-classification,5e-05,80,6.0,,2022-12-05T13:09:56.000Z,,8,finetune
jonc/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.923,text-classification,2e-05,64,2.0,,2022-02-04T06:15:55.000Z,,8,finetune
jo-kwsm/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9255,text-classification,2e-05,64,2.0,,2022-10-21T06:02:46.000Z,,8,finetune
Emanuel/twitter-emotion-deberta-v3-base,microsoft/deberta-v2-xlarge,emotion,0.937,text-classification,5e-05,80,6.0,,2022-12-05T13:10:11.000Z,,7,finetune
microsoft/deberta-v2-xlarge,,emotion,0.937,text-classification,5e-05,80,6.0,,2022-12-05T13:10:11.000Z,,,lineage
EnsarEmirali/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9265,text-classification,2e-05,64,2.0,,2022-02-21T05:53:26.000Z,,7,finetune
JaviBJ/sagemaker-distilbert-emotion,distilbert-base-uncased,emotion,0.9165,text-classification,3e-05,32,1.0,,2021-11-17T17:02:01.000Z,,7,finetune
aGabillon/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9215,text-classification,2e-05,64,2.0,,2022-03-13T04:19:27.000Z,,7,finetune
kidzy/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9245,text-classification,2e-05,64,2.0,,2022-06-26T08:19:59.000Z,,7,finetune
bhadresh-savani/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9365,text-classification,2e-05,64,5.0,,2022-07-14T06:59:49.000Z,,7,finetune
lylyly2103/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9285,text-classification,2e-05,64,2.0,,2022-08-02T03:40:56.000Z,,7,finetune
cvnberk/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.923,text-classification,2e-05,64,2.0,,2024-07-07T05:41:48.000Z,,7,finetune
hwkang/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9265,text-classification,2e-05,64,2.0,,2023-09-09T09:42:18.000Z,,7,finetune
zcstarr/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.93,text-classification,2e-05,64,2.0,,2024-06-13T23:12:17.000Z,,7,finetune
AdapterHub/bert-base-uncased-pf-emotion,,emotion,,text-classification,,,,,2021-11-24T16:23:08.000Z,,6,finetune
Kiran146/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9225,text-classification,2e-05,64,2.0,,2022-02-28T17:30:35.000Z,,6,finetune
lewtun/minilm-finetuned-emotion,bert-base-uncased,emotion,,text-classification,2e-05,64,5.0,,2021-11-11T20:44:07.000Z,,6,finetune
nickmuchi/minilm-finetuned-emotion_nm,bert-base-uncased,emotion,,text-classification,2e-05,64,10.0,,2022-01-17T08:15:50.000Z,,6,finetune
philschmid/deberta-v3-xsmall-emotion,microsoft/deberta-v2-xlarge,emotion,0.932,text-classification,3e-05,32,5.0,,2021-12-16T12:37:10.000Z,,6,finetune
Adrian/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9275,text-classification,2e-05,64,2.0,,2022-04-14T22:11:34.000Z,,6,finetune
luquesky/distilbert-base-uncased-finetuned-emotion-bigger-batch-better-who-knows,distilbert-base-uncased,emotion,,text-classification,2e-05,512,10.0,,2022-04-20T14:05:16.000Z,,6,finetune
juliensimon/sagemaker-distilbert-emotion,distilbert-base-uncased,emotion,0.919,text-classification,3e-05,32,1.0,,2023-12-20T15:03:12.000Z,,6,finetune
jianxun/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.922,text-classification,2e-05,64,2.0,,2023-06-09T12:57:10.000Z,,6,finetune
Akshat/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.922,text-classification,2e-05,64,2.0,,2022-05-21T13:37:58.000Z,,6,finetune
ghpkishore/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9285,text-classification,2e-05,64,2.0,,2022-07-22T10:09:57.000Z,,6,finetune
jdang/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.924,text-classification,2e-05,64,2.0,,2023-03-01T15:15:40.000Z,,6,finetune
vijayrag/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.925,text-classification,2e-05,64,2.0,,2024-02-13T20:47:05.000Z,,6,finetune
mooface/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.927,text-classification,2e-05,64,2.0,,2023-02-21T04:34:22.000Z,,6,finetune
ljh1/hello-custom,distilbert-base-uncased,emotion,,text-classification,,,,,2022-12-09T09:06:52.000Z,,6,finetune
mkato/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.939,text-classification,5e-05,64,2.0,,2023-01-27T09:20:22.000Z,,6,finetune
tingtone/jq_emo_gpt,,emotion,0.947,text-classification,1e-05,1,4.0,,2023-06-07T23:10:32.000Z,,6,finetune
lightwsrld/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9235,text-classification,2e-05,64,2.0,,2023-08-03T07:52:49.000Z,,6,finetune
Msrisrujan/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.924,text-classification,2e-05,64,2.0,,2023-08-21T17:49:34.000Z,,6,finetune
MuntasirHossain/RoBERTa-base-finetuned-emotion,roberta-base,emotion,0.933,text-classification,2e-05,32,5.0,,2023-11-06T02:56:58.000Z,,6,finetune
kw9101/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.921,text-classification,2e-05,64,2.0,,2024-02-19T13:03:35.000Z,,6,finetune
shrikant11/KGI,distilbert-base-uncased,emotion,,text-classification,,,,,2024-04-29T08:58:07.000Z,,6,finetune
fikriau/praktikum-ai-modul6-robertalargefocal,roberta-base,emotion,,text-classification,,,,,2025-06-16T11:56:44.000Z,,6,finetune
Yaia/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9255,text-classification,2e-05,64,2.0,,2022-01-21T17:28:21.000Z,,5,finetune
bergum/xtremedistil-emotion,bert-base-uncased,emotion,0.9265,text-classification,3e-05,128,24.0,,2023-08-14T12:56:58.000Z,,5,finetune
dmiller1/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.926,text-classification,2e-05,64,2.0,,2022-01-18T03:59:30.000Z,,5,finetune
frahman/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9205,text-classification,2e-05,64,2.0,,2022-07-13T12:58:49.000Z,,5,finetune
jpabbuehl/sagemaker-distilbert-emotion,distilbert-base-uncased,emotion,0.929,text-classification,3e-05,32,3.0,,2021-11-20T14:22:59.000Z,,5,finetune
ncduy/bert-base-cased-finetuned-emotion,bert-base-uncased,emotion,,text-classification,2e-05,64,5.0,,2021-12-09T10:30:48.000Z,,5,finetune
keerthisaran/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.92,text-classification,2e-05,64,2.0,,2022-04-10T21:58:34.000Z,,5,finetune
danhsf/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9265,text-classification,2e-05,64,2.0,,2022-03-31T02:39:15.000Z,,5,finetune
okep/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9245,text-classification,2e-05,64,2.0,,2022-04-04T18:53:56.000Z,,5,finetune
aprilzoo/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.923,text-classification,2e-05,64,2.0,,2022-04-04T05:50:42.000Z,,5,finetune
rdchambers/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.922,text-classification,2e-05,64,2.0,,2023-09-27T13:10:25.000Z,,5,finetune
philschmid/sagemaker-distilbert-emotion,distilbert-base-uncased,emotion,0.9185,text-classification,3e-05,32,1.0,,2022-12-05T13:36:06.000Z,,5,finetune
SimulSt/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.925,text-classification,2e-05,64,2.0,,2022-06-06T13:24:23.000Z,,5,finetune
aatmasidha/distilbert-base-uncased-newsmodelclassification,distilbert-base-uncased,emotion,0.928,text-classification,2e-05,64,2.0,,2022-07-18T09:04:59.000Z,,5,finetune
ecnmchedsgn/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.929,text-classification,2e-05,64,2.0,,2022-07-15T03:04:52.000Z,,5,finetune
hhffxx/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9385,text-classification,2e-05,1,2.0,,2022-08-24T02:29:32.000Z,,5,finetune
jplum87/test,distilbert-base-uncased,emotion,0.9335,text-classification,2e-05,64,2.0,,2022-08-21T19:27:06.000Z,,5,finetune
rlpeter70/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9255,text-classification,2e-05,64,2.0,,2022-09-03T17:39:41.000Z,,5,finetune
gokuls/BERT-tiny-emotion-intent,bert-base-uncased,emotion,0.91,text-classification,5e-05,16,50.0,,2022-09-24T14:11:28.000Z,,5,finetune
hgf22/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.917,text-classification,2e-05,64,2.0,,2022-11-09T01:42:06.000Z,,5,finetune
GinaYang/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9235,text-classification,2e-05,64,2.0,,2022-11-14T10:39:08.000Z,,5,finetune
cafbr/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.939,text-classification,2e-05,8,2.0,,2023-05-06T23:59:37.000Z,,5,finetune
Lyhoon/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.923,text-classification,2e-05,64,2.0,,2023-05-19T15:20:18.000Z,,5,finetune
Luciferio/MiniLLM-finetuned,bert-base-uncased,emotion,,text-classification,2e-05,8,2.0,,2023-08-22T14:39:58.000Z,,5,finetune
baehong/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9255,text-classification,2e-05,64,2.0,,2023-08-27T06:55:08.000Z,,5,finetune
mijoo/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.926,text-classification,2e-05,64,2.0,,2023-09-01T02:43:25.000Z,,5,finetune
kwholee/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.926,text-classification,2e-05,64,2.0,,2023-09-02T04:05:10.000Z,,5,finetune
hwatai/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9215,text-classification,2e-05,64,2.0,,2023-09-16T02:38:22.000Z,,5,finetune
fmurray/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9315,text-classification,2e-05,64,3.0,,2023-10-16T18:57:33.000Z,,5,finetune
Cohee/bert-base-uncased-emotion-onnx,bert-base-uncased,emotion,,text-classification,2e-05,,,,2023-10-20T10:35:47.000Z,,5,finetune
keefezowie/my_awesome_model,,emotion,0.8295,text-classification,5e-05,16,10.0,,2023-12-02T17:13:45.000Z,,5,finetune
adelinamart/minilm_finetuned_emotions,bert-base-uncased,emotion,,text-classification,2e-05,64,5.0,,2024-03-05T22:04:32.000Z,,5,finetune
ocaklisemih/distilbert-emotion,distilbert-base-uncased,emotion,0.9375,text-classification,5e-05,128,2.0,,2025-02-12T22:45:08.000Z,,5,finetune
omerfguzel/emotion_distilbert,distilbert-base-uncased,emotion,0.925,text-classification,2e-05,64,3.0,,2024-02-21T13:34:31.000Z,,5,finetune
vanderlist/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9295,text-classification,2e-05,64,2.0,,2024-05-08T09:00:06.000Z,,5,finetune
alexandrehsd/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9335,text-classification,2e-05,64,2.0,,2024-05-30T22:51:03.000Z,,5,finetune
khalidr/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9255,text-classification,2e-05,64,2.0,,2024-06-27T01:35:46.000Z,,5,finetune
dearkarina/finetuning-emotion-model,distilbert-base-uncased,emotion,0.928,text-classification,2e-05,64,2.0,,2024-08-03T07:46:12.000Z,,5,finetune
MhF/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9215,text-classification,2e-05,64,2.0,,2022-02-15T05:38:33.000Z,,4,finetune
Worldman/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9225,text-classification,2e-05,64,2.0,,2022-02-20T21:29:06.000Z,,4,finetune
abdelkader/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9215,text-classification,2e-05,64,2.0,,2022-01-04T23:18:05.000Z,,4,finetune
anindabitm/sagemaker-distilbert-emotion,distilbert-base-uncased,emotion,0.9165,text-classification,3e-05,32,1.0,,2021-11-18T17:43:59.000Z,,4,finetune
asalics/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.924,text-classification,2e-05,64,2.0,,2022-02-06T14:29:54.000Z,,4,finetune
bergum/xtremedistil-l6-h384-emotion,bert-base-uncased,emotion,0.928,text-classification,3e-05,128,14.0,,2023-03-21T11:55:03.000Z,,4,finetune
carlosaguayo/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9295,text-classification,2e-05,64,2.0,,2022-07-13T14:50:13.000Z,,4,finetune
coldfir3/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.922,text-classification,2e-05,64,2.0,,2023-12-20T16:15:26.000Z,,4,finetune
cscottp27/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.923,text-classification,2e-05,64,2.0,,2022-02-13T13:19:16.000Z,,4,finetune
lewtun/results,distilbert-base-uncased,emotion,0.925,text-classification,2e-05,64,2.0,,2021-10-18T13:16:42.000Z,,4,finetune
timtarusov/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.921,text-classification,2e-05,64,2.0,,2022-02-13T08:48:03.000Z,,4,finetune
clisi2000/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9245,text-classification,2e-05,64,2.0,,2022-03-06T07:09:00.000Z,,4,finetune
RaghuramKol/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.927,text-classification,2e-05,64,2.0,,2022-03-15T19:56:43.000Z,,4,finetune
swetava/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9245,text-classification,2e-05,64,2.0,,2022-03-17T18:42:58.000Z,,4,finetune
loulou/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.922,text-classification,2e-05,64,2.0,,2022-03-30T04:57:58.000Z,,4,finetune
Thant123/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.924,text-classification,2e-05,64,2.0,,2022-03-24T12:17:39.000Z,,4,finetune
jkhan447/sentiment-model-sample-5-emotion,bert-base-uncased,emotion,0.925,text-classification,2e-05,16,10.0,,2022-03-25T08:12:13.000Z,,4,finetune
neibla/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9255,text-classification,2e-05,64,2.0,,2022-03-30T08:56:26.000Z,,4,finetune
JNK789/distilbert-base-uncased-finetuned-emotion,distilbert-base-uncased,emotion,0.9305,text-classification,2e-05,64,3.0,,2022-08-27T03:55:45.000Z,,4,finetune
